organisation_id,user_id,active_device_id
0JSOR6N8GY,oMbOSFNJIX,37NY80U7EU21
0JSOR6N8GY,zuK8fI4Bto,0P60EQT0M7S2
0JSOR6N8GY,D44TCp49j9,LKAG60IKX3SC
0JSOR6N8GY,JVZE1Bys4q,RJIO2I7TEUPY
0JSOR6N8GY,LxctFz5V8N,V69DLLW321MR
0JSOR6N8GY,VZ82xui044,T16FMUZ3KGZO
0JSOR6N8GY,GT17eZhbg6,15POV39IXRKL
0JSOR6N8GY,i07ZmWvlWl,CIO1IVPRG3MG
0JSOR6N8GY,5bDH6MMPLZ,S4C8ZHPK4YWB
0JSOR6N8GY,FBJiizWWTM,1LMI89QE2PTR
0JSOR6N8GY,Qd5nyJkp9N,84O6CP5X01XW
0JSOR6N8GY,LmUPec0FOk,XPYBTVVYMXRB
0JSOR6N8GY,9bF5vyqOY5,K2SMG36OJJJ9
0JSOR6N8GY,hN296Jua5S,GVILW24GHZ7W
0JSOR6N8GY,H5S4mbwNT9,OYS6UA0QXGRL
0JSOR6N8GY,6ts7UWAGqz,SO92W44RUTX5
0JSOR6N8GY,nzaRatYKHa,301FA9KXX16N
0JSOR6N8GY,LwN0AjAGJg,FAHDGPNXMPFG
0JSOR6N8GY,qKuWSi8Hdk,8HE0JICXVHLD
0JSOR6N8GY,B2Gye3CsdT,MHT2SEUQ74LV
0JSOR6N8GY,HDeuuSYqfY,LCKI3MJA7JKZ
0JSOR6N8GY,nmcZe9lxC6,76YKRH9BZEE6
0JSOR6N8GY,bbXXckforf,459KMPIJJ2LE
0JSOR6N8GY,TPnfaPcQSK,GK362LO4PHD4
0JSOR6N8GY,QOtpNlf7HY,02YORXHUSKDF
0JSOR6N8GY,oDWBVrYj5a,M4BGP5SSGEV3
0JSOR6N8GY,UqD3JzsO6A,UV6BLM4COKD7
0JSOR6N8GY,zs9A3vDPK6,YK5DZF4N8D7V
0JSOR6N8GY,nNjtS60IUD,2RDDV1RBBLTB
0JSOR6N8GY,0OaibEwOMg,1WACV97YGDF6
0JSOR6N8GY,Thccwl5Oro,MF1H3GDNGS84
0JSOR6N8GY,pxMJUl0CVT,54M8ECT09UDM
0JSOR6N8GY,AaxE2qwl7o,V6EF5JO0S4WP
0JSOR6N8GY,bfXrDbMzBe,NGB3F8ZKH3GS
0JSOR6N8GY,MYaIaRqF4q,S2HZEF3COZHU
0JSOR6N8GY,duJHkuCMWI,FK72ILBN3ON1
0JSOR6N8GY,hhRzzzqpNI,H6XQGQ4SJPFV
0JSOR6N8GY,pnjSieS9F4,TS91DNB0NSUT
0JSOR6N8GY,ZVFr907xwU,JZQVJT1O7E14
0JSOR6N8GY,XRtCHZGqjg,IE7Y629UI1O2
0JSOR6N8GY,L0GgXSgczd,12NH2NSTRG00
0JSOR6N8GY,IKzSJU5nzn,9CP036FN1ZS4
0JSOR6N8GY,INcskO02nO,U6MTG4P7AJYU
0JSOR6N8GY,Y21bAcZicp,XG8UUYXJRHSP
0JSOR6N8GY,P8yJzDrfN6,PBV0P0SRT3X4
0JSOR6N8GY,qsB3gyTA7Q,WLAUONE5V6S0
0JSOR6N8GY,fAURN8kt8H,KENC1AQCPOGG
0JSOR6N8GY,GBOPhX6gNz,INNMC4GU041P
0JSOR6N8GY,A0yG0bWv61,T4IKL6OITKLP
0JSOR6N8GY,vmz8bw7Hxf,YUFXFJGRI17L
0JSOR6N8GY,3TmkYIY2CC,2860MNJO83NS
0JSOR6N8GY,2P9Thv88Ky,XQ5M95VLUXGU
0JSOR6N8GY,djAOaAGLBh,S1QMZAYGITJA
0JSOR6N8GY,qByau5KujQ,8IPM2ST67D5D
0JSOR6N8GY,twSIf1YagM,TGAPESFQ1WPG
0JSOR6N8GY,I5mDoUKiKb,6N6A0AOT8EKF
0JSOR6N8GY,fYeIIB1EZL,VL0UL0QRZNVJ
0JSOR6N8GY,cnvjG0C1NG,VTFKHVV6GUVB
0JSOR6N8GY,o0aQE1EEq3,GPTVYMENM91K
0JSOR6N8GY,ffTePlGgJT,OGDLAVKP7U5H
0JSOR6N8GY,WtastjmK4d,VHPFM11XG486
0JSOR6N8GY,YWMhXeWz4L,6LB41LB97JE0
0JSOR6N8GY,2fBL7Err7k,ZVJ557JZI265
0JSOR6N8GY,H2gtkiZdyV,YIJXEYMFMTZ5
0JSOR6N8GY,kLji7Armlg,ZYLQKDLIDKE0
0JSOR6N8GY,UK97sMLkDZ,1YMTJ5526OLV
0JSOR6N8GY,5BMcdPv2GX,GU9TSPEPI2YO
0JSOR6N8GY,h4CnQZLjvH,20H525T9L722
0JSOR6N8GY,3r7dHziWGF,49KLMKPE0HKB
0JSOR6N8GY,Qbl1LvfMRl,WAYA3V80H99U
0JSOR6N8GY,uPeciEWOVc,53LTVHGPQ9AA
0JSOR6N8GY,b4sFS3XV7T,LQZE1BIUHIOF
0JSOR6N8GY,MrlH7CVKJo,LGBE88XAI9FR
0JSOR6N8GY,aqBGaB7qhi,4G3XHOINZO4W
0JSOR6N8GY,8ZGGxIn8bI,9JJDTSOJXBT9
0JSOR6N8GY,D0NAKn827R,3RR7F3DXUEEZ
0JSOR6N8GY,QAFzLHdGwi,BM9GOAIDW9L4
0JSOR6N8GY,Pn7ukfQJCj,YZ1VOWF3KUEI
0JSOR6N8GY,now3stMbZx,SWVG8O3I73FR
0JSOR6N8GY,GGxPqo3FIi,66CSATETZ6Q0
0JSOR6N8GY,S6RlRMlFvz,AD6B8UY71Q39
0JSOR6N8GY,2UjYdgW2iK,UA9SNINHMTTQ
0JSOR6N8GY,QaqMKck9Zo,FP3DQMR1ZWWI
0JSOR6N8GY,v2XOqgzYuD,2TCR47TQ1YLU
0JSOR6N8GY,YnUcYfnIxJ,0GAAA94D56P2
0JSOR6N8GY,wzRHkbUuOq,0H0PLY6RHTVV
0JSOR6N8GY,C2MXygjui3,7HPC1SDV7D1F
0JSOR6N8GY,JTvQVgjxn6,NPLU2ZOVQ3BP
0JSOR6N8GY,T2IIaB30Kj,V8KPKIRADRM2
0JSOR6N8GY,Y38QPp0hNs,74H4TJRTEV1Y
0JSOR6N8GY,gI9KQDlKKy,YJF2ENLIM194
0JSOR6N8GY,6RdW2R6a9o,S5WCFVD0IIAN
0JSOR6N8GY,qJlITqDgkv,96NTP5LCP7IC
0JSOR6N8GY,eJOpvTTbX7,79H460YAR9MP
0JSOR6N8GY,WUnLGgJXJL,RPU6CNK9B4GQ
0JSOR6N8GY,jCfKW8PPnK,SZEJG3XMSQ1R
0JSOR6N8GY,kBGGlIsxeJ,UUF7WYZPJREN
0JSOR6N8GY,hCSVhfdnKm,UU6TIV9DSN9O
0JSOR6N8GY,rSH5aHaPeg,MNP2PLCNS4I5
0JSOR6N8GY,jQqSgK7oeQ,GEXXHROQE6PD
0JSOR6N8GY,rwpNgSwIKp,42UK0OL1FH4O
0JSOR6N8GY,pnp4vjZhsS,HTWLNGS7YV24
0JSOR6N8GY,i1EOXkOX5x,80KW335QY5IU
0JSOR6N8GY,ofqQbin6UH,HZQ7VX6VZ38V
0JSOR6N8GY,4Ptp8l8TtH,V3LL20847GQ9
0JSOR6N8GY,O3AewA7BPB,9WMJN7TXUG0G
0JSOR6N8GY,6qKQf6XI2O,7JGT2C0812GI
0JSOR6N8GY,0r4Te45LRE,3TLKEQXSCGQH
0JSOR6N8GY,SExAdpfh7e,EDH60VD60WMU
